s t demand
hl_6 hl_2 2
hl_6 hl_3 0
hl_6 hl_4 20
hl_6 hl_5 3
hl_6 hl_7 27
hl_6 hl_8 1
hl_6 hl_9 22
hl_6 hl_10 8
hl_6 hl_11 9
hl_6 hl_12 6
hl_6 hl_13 11
hl_6 hl_14 27
hl_6 hl_15 0
hl_6 hl_16 4
hl_7 hl_0 9
hl_7 hl_1 54
hl_7 hl_2 191
hl_7 hl_3 110
hl_7 hl_4 310
hl_7 hl_5 129
hl_7 hl_6 12
hl_7 hl_8 17
hl_7 hl_9 270
hl_7 hl_10 66
hl_7 hl_11 81
hl_7 hl_12 82
hl_7 hl_13 201
hl_7 hl_14 469
hl_7 hl_15 8
hl_7 hl_16 93
hl_8 hl_0 78
hl_8 hl_1 175
hl_8 hl_2 299
hl_8 hl_3 21
hl_8 hl_4 395
hl_8 hl_5 72
hl_8 hl_6 115
hl_8 hl_7 612
hl_8 hl_9 82
hl_8 hl_10 57
hl_8 hl_11 71
hl_8 hl_12 330
hl_8 hl_13 266
hl_8 hl_14 405
hl_8 hl_15 1
hl_8 hl_16 28
hl_9 hl_0 35
hl_9 hl_1 49
hl_9 hl_2 286
hl_9 hl_3 567
hl_9 hl_4 361
hl_9 hl_5 224
hl_9 hl_6 408
hl_9 hl_7 203
hl_9 hl_8 120
hl_9 hl_10 133
hl_9 hl_11 13
hl_9 hl_12 434
hl_9 hl_13 341
hl_9 hl_14 557
hl_9 hl_15 18
hl_9 hl_16 20
hl_10 hl_0 199
hl_10 hl_1 315
hl_10 hl_2 366
hl_10 hl_3 254
hl_10 hl_4 637
hl_10 hl_5 242
hl_10 hl_6 274
hl_10 hl_7 1030
hl_10 hl_8 128
hl_10 hl_9 344
hl_10 hl_11 270
hl_10 hl_12 551
hl_10 hl_13 386
hl_10 hl_14 1211
hl_10 hl_15 21
hl_10 hl_16 95
hl_11 hl_0 7
hl_11 hl_1 5
hl_11 hl_2 64
hl_11 hl_3 23
hl_11 hl_4 19
hl_11 hl_5 5
hl_11 hl_6 16
hl_11 hl_7 89
hl_11 hl_8 6
hl_11 hl_9 20
hl_11 hl_10 20
hl_11 hl_12 5
hl_11 hl_13 42
hl_11 hl_14 102
hl_11 hl_15 0
hl_11 hl_16 24
hl_12 hl_0 115
hl_12 hl_1 253
hl_12 hl_2 643
hl_12 hl_3 410
hl_12 hl_4 1091
hl_12 hl_5 324
hl_12 hl_6 340
hl_12 hl_7 2112
hl_12 hl_8 237
hl_12 hl_9 413
hl_12 hl_10 185
hl_12 hl_11 172
hl_12 hl_13 852
hl_12 hl_14 542
hl_12 hl_15 0
hl_12 hl_16 353
hl_13 hl_0 124
hl_13 hl_1 31
hl_13 hl_2 184
hl_13 hl_3 173
hl_13 hl_4 11
hl_13 hl_5 175
hl_13 hl_6 232
hl_13 hl_7 554
hl_13 hl_8 64
hl_13 hl_9 384
hl_13 hl_10 83
hl_13 hl_11 15
hl_13 hl_12 369
hl_13 hl_14 399
hl_13 hl_15 2
hl_13 hl_16 65
hl_14 hl_0 86
hl_14 hl_1 66
hl_14 hl_2 152
hl_14 hl_3 37
hl_14 hl_4 209
hl_14 hl_5 169
hl_14 hl_6 47
hl_14 hl_7 400
hl_14 hl_8 32
hl_14 hl_9 67
hl_14 hl_10 12
hl_14 hl_11 62
hl_14 hl_12 353
hl_14 hl_13 150
hl_14 hl_15 11
hl_14 hl_16 151
hl_15 hl_0 98
hl_15 hl_1 3
hl_15 hl_2 295
hl_15 hl_3 274
hl_15 hl_4 180
hl_15 hl_5 118
hl_15 hl_6 139
hl_15 hl_7 94
hl_15 hl_8 30
hl_15 hl_9 221
hl_15 hl_10 189
hl_15 hl_11 20
hl_15 hl_12 167
hl_15 hl_13 139
hl_15 hl_14 432
hl_15 hl_16 123
hl_16 hl_0 24
hl_16 hl_1 3
hl_16 hl_2 55
hl_16 hl_3 33
hl_16 hl_4 70
hl_16 hl_5 16
hl_16 hl_6 5
hl_16 hl_7 133
hl_16 hl_8 23
hl_16 hl_9 103
hl_16 hl_10 55
hl_16 hl_11 38
hl_16 hl_12 66
hl_16 hl_13 60
hl_16 hl_14 128
hl_16 hl_15 1
hh_0 hh_1 297
hh_0 hh_2 149
hh_0 hh_3 84
hh_0 hh_4 634
hh_0 hh_5 241
hh_0 hh_6 330
hh_0 hh_7 469
hh_0 hh_8 73
hh_0 hh_9 243
hh_0 hh_10 135
hh_0 hh_11 251
hh_0 hh_12 962
hh_0 hh_13 525
hh_0 hh_14 163
hh_0 hh_15 15
hh_0 hh_16 219
hh_1 hh_0 19
hh_1 hh_2 11
hh_1 hh_3 21
hh_1 hh_4 40
hh_1 hh_5 16
hh_1 hh_6 3
hh_1 hh_7 68
hh_1 hh_8 10
hh_1 hh_9 18
hh_1 hh_10 16
hh_1 hh_11 21
hh_1 hh_12 73
hh_1 hh_13 34
hh_1 hh_14 5
hh_1 hh_15 1
hh_1 hh_16 1
hh_2 hh_0 24
hh_2 hh_1 44
hh_2 hh_3 85
hh_2 hh_4 152
hh_2 hh_5 48
hh_2 hh_6 45
hh_2 hh_7 333
hh_2 hh_8 28
hh_2 hh_9 58
hh_2 hh_10 39
hh_2 hh_11 19
hh_2 hh_12 259
hh_2 hh_13 96
hh_2 hh_14 137
hh_2 hh_15 3
hh_2 hh_16 50
hh_3 hh_0 3
hh_3 hh_1 3
hh_3 hh_2 7
hh_3 hh_4 17
hh_3 hh_5 14
hh_3 hh_6 19
hh_3 hh_7 7
hh_3 hh_8 8
hh_3 hh_9 6
hh_3 hh_10 22
hh_3 hh_11 5
hh_3 hh_12 10
hh_3 hh_13 25
hh_3 hh_14 29
hh_3 hh_15 0
hh_3 hh_16 16
hh_4 hh_0 1
hh_4 hh_1 135
hh_4 hh_2 250
hh_4 hh_3 560
hh_4 hh_5 130
hh_4 hh_6 351
hh_4 hh_7 486
hh_4 hh_8 38
hh_4 hh_9 85
hh_4 hh_10 62
hh_4 hh_11 83
hh_4 hh_12 242
hh_4 hh_13 33
hh_4 hh_14 569
hh_4 hh_15 11
hh_4 hh_16 62
hh_5 hh_0 4
hh_5 hh_1 71
hh_5 hh_2 99
hh_5 hh_3 9
hh_5 hh_4 55
hh_5 hh_6 53
hh_5 hh_7 100
hh_5 hh_8 30
hh_5 hh_9 94
hh_5 hh_10 94
hh_5 hh_11 34
hh_5 hh_12 92
hh_5 hh_13 15
hh_5 hh_14 234
hh_5 hh_15 3
hh_5 hh_16 70
hh_6 hh_0 3
hh_6 hh_1 5
hh_6 hh_2 13
hh_6 hh_3 18
hh_6 hh_4 6
hh_6 hh_5 5
hh_6 hh_7 17
hh_6 hh_8 2
hh_6 hh_9 2
hh_6 hh_10 5
hh_6 hh_11 4
hh_6 hh_12 19
hh_6 hh_13 6
hh_6 hh_14 13
hh_6 hh_15 0
hh_6 hh_16 5
hh_7 hh_0 51
hh_7 hh_1 54
hh_7 hh_2 48
hh_7 hh_3 127
hh_7 hh_4 8
hh_7 hh_5 3
hh_7 hh_6 101
hh_7 hh_8 23
hh_7 hh_9 4
hh_7 hh_10 59
hh_7 hh_11 52
hh_7 hh_12 187
hh_7 hh_13 25
hh_7 hh_14 34
hh_7 hh_15 1
hh_7 hh_16 28
hh_8 hh_0 29
hh_8 hh_1 11
hh_8 hh_2 25
hh_8 hh_3 211
hh_8 hh_4 0
hh_8 hh_5 47
hh_8 hh_6 72
hh_8 hh_7 63
hh_8 hh_9 128
hh_8 hh_10 83
hh_8 hh_11 77
hh_8 hh_12 112
hh_8 hh_13 19
hh_8 hh_14 124
hh_8 hh_15 5
hh_8 hh_16 77
hh_9 hh_0 95
hh_9 hh_1 139
hh_9 hh_2 146
hh_9 hh_3 84
hh_9 hh_4 148
hh_9 hh_5 26
hh_9 hh_6 11
hh_9 hh_7 511
hh_9 hh_8 5
hh_9 hh_10 119
hh_9 hh_11 180
hh_9 hh_12 243
hh_9 hh_13 82
hh_9 hh_14 263
hh_9 hh_15 1
hh_9 hh_16 141
hh_10 hh_0 29
hh_10 hh_1 28
hh_10 hh_2 147
hh_10 hh_3 292
hh_10 hh_4 56
hh_10 hh_5 36
hh_10 hh_6 109
hh_10 hh_7 184
hh_10 hh_8 10
hh_10 hh_9 147
hh_10 hh_11 78
hh_10 hh_12 248
hh_10 hh_13 95
hh_10 hh_14 12
hh_10 hh_15 1
hh_10 hh_16 125
hh_11 hh_0 10
hh_11 hh_1 17
hh_11 hh_2 3
hh_11 hh_3 34
hh_11 hh_4 31
hh_11 hh_5 14
hh_11 hh_6 18
hh_11 hh_7 32
hh_11 hh_8 4
hh_11 hh_9 25
hh_11 hh_10 12
hh_11 hh_12 55
hh_11 hh_13 10
hh_11 hh_14 16
hh_11 hh_15 1
hh_11 hh_16 6
hh_12 hh_0 162
hh_12 hh_1 190
hh_12 hh_2 240
hh_12 hh_3 508
hh_12 hh_4 91
hh_12 hh_5 105
hh_12 hh_6 248
hh_12 hh_7 131
hh_12 hh_8 7
hh_12 hh_9 337
hh_12 hh_10 266
hh_12 hh_11 276
hh_12 hh_13 64
hh_12 hh_14 778
hh_12 hh_15 20
hh_12 hh_16 117
hh_13 hh_0 55
hh_13 hh_1 154
hh_13 hh_2 209
hh_13 hh_3 296
hh_13 hh_4 336
hh_13 hh_5 56
hh_13 hh_6 108
hh_13 hh_7 360
hh_13 hh_8 35
hh_13 hh_9 100
hh_13 hh_10 151
hh_13 hh_11 187
hh_13 hh_12 294
hh_13 hh_14 364
hh_13 hh_15 9
hh_13 hh_16 125
hh_14 hh_0 41
hh_14 hh_1 88
hh_14 hh_2 140
hh_14 hh_3 256
hh_14 hh_4 140
hh_14 hh_5 18
hh_14 hh_6 137
hh_14 hh_7 257
hh_14 hh_8 32
hh_14 hh_9 176
hh_14 hh_10 132
hh_14 hh_11 108
hh_14 hh_12 167
hh_14 hh_13 113
hh_14 hh_15 2
hh_14 hh_16 37
hh_15 hh_0 9
hh_15 hh_1 82
hh_15 hh_2 0
hh_15 hh_3 51
hh_15 hh_4 78
hh_15 hh_5 11
hh_15 hh_6 41
hh_15 hh_7 267
hh_15 hh_8 18
hh_15 hh_9 33
hh_15 hh_10 0
hh_15 hh_11 85
hh_15 hh_12 152
hh_15 hh_13 59
hh_15 hh_14 61
hh_15 hh_16 16
hh_16 hh_0 9
hh_16 hh_1 29
hh_16 hh_2 27
hh_16 hh_3 53
hh_16 hh_4 27
hh_16 hh_5 18
hh_16 hh_6 38
hh_16 hh_7 50
hh_16 hh_8 0
hh_16 hh_9 1
hh_16 hh_10 7
hh_16 hh_11 16
hh_16 hh_12 54
hh_16 hh_13 18
hh_16 hh_14 39
hh_16 hh_15 1
