scenario failed_links probability
56 1-16,16-1,6-7,7-6 5.930873844745984e-06
57 2-4,4-2,6-15,15-6 5.900495831513872e-06
58 6-15,15-6,10-11,11-10 5.534370072590469e-06
59 0-7,7-0,6-15,15-6 5.4159100068735326e-06
60 4-8,8-4,11-12,12-11 5.252972736063118e-06
61 0-3,3-0,6-15,15-6 5.230492630204189e-06
62 10-16,16-10,14-15,15-14 5.228774729468251e-06
63 11-12,12-11,13-14,14-13 5.132827266579776e-06
64 9-16,16-9,14-15,15-14 5.118198480943612e-06
65 2-4,4-2,11-12,12-11 4.769311591354176e-06
66 1-16,16-1,5-14,14-5 4.747772024070982e-06
67 4-8,8-4,4-6,6-4 4.551161755112621e-06
68 11-12,12-11,10-11,11-10 4.473375813109804e-06
69 4-6,6-4,13-14,14-13 4.447068036519968e-06
70 0-7,7-0,11-12,12-11 4.377625730291526e-06
71 0-3,3-0,11-12,12-11 4.227754724694919e-06
72 2-4,4-2,4-6,6-4 4.132119012110865e-06
73 1-16,16-1,10-16,16-10 3.972630454497458e-06
74 9-16,16-9,1-16,16-1 3.88861869358579e-06
75 4-8,8-4,13-14,14-13 3.884035279814949e-06
76 4-6,6-4,10-11,11-10 3.875721032607037e-06
77 6-15,15-6,13-16,16-13 3.7934316660153333e-06
78 0-7,7-0,4-6,6-4 3.7927634128235386e-06
79 0-3,3-0,4-6,6-4 3.6629155679663138e-06
80 6-15,15-6,12-13,13-12 3.6106338149331307e-06
81 2-4,4-2,4-8,8-4 3.6089612058177543e-06
82 1-6,6-1,14-15,15-14 3.542319234245509e-06
83 2-4,4-2,13-14,14-13 3.5264174043920685e-06
84 4-8,8-4,10-11,11-10 3.3850251675363532e-06
85 0-7,7-0,4-8,8-4 3.3125706156107807e-06
86 10-11,11-10,13-14,14-13 3.3076032088853016e-06
87 0-7,7-0,13-14,14-13 3.2368058302584868e-06
88 0-3,3-0,4-8,8-4 3.1991624990063716e-06
89 0-3,3-0,13-14,14-13 3.1259915728072225e-06
90 2-4,4-2,10-11,11-10 3.0733530478317636e-06
91 11-12,12-11,13-16,16-13 3.0661927628368632e-06
92 2-4,4-2,0-7,7-0 3.0075696616031143e-06
93 12-13,13-12,11-12,12-11 2.9184390934952645e-06
94 2-4,4-2,0-3,3-0 2.904603460891321e-06
95 0-7,7-0,10-11,11-10 2.820949967883761e-06
96 1-16,16-1,1-5,5-1 2.76652237395349e-06
97 0-3,3-0,10-11,11-10 2.7243728197966166e-06
98 1-6,6-1,1-16,16-1 2.6913236843437183e-06
99 0-7,7-0,0-3,3-0 2.6660591582529313e-06
100 4-6,6-4,13-16,16-13 2.6565413409102753e-06
101 6-15,15-6,4-5,5-4 2.562898296047669e-06
102 4-6,6-4,12-13,13-12 2.5285279506125344e-06
103 4-8,8-4,13-16,16-13 2.3202029304810915e-06
104 2-3,3-2,14-15,15-14 2.27376053437797e-06
105 13-16,16-13,13-14,14-13 2.2671354800324166e-06
106 4-8,8-4,12-13,13-12 2.2083970124870334e-06
107 6-7,7-6,6-15,15-6 2.174347988048753e-06
108 12-13,13-12,13-14,14-13 2.1578867758643875e-06
109 2-4,4-2,13-16,16-13 2.1065730371429133e-06
110 4-5,5-4,11-12,12-11 2.0715649836610316e-06
111 10-11,11-10,13-16,16-13 1.975860182837982e-06
112 0-7,7-0,13-16,16-13 1.933568011545413e-06
113 12-13,13-12,10-11,11-10 1.880647450077447e-06
114 0-3,3-0,13-16,16-13 1.8673709905724834e-06
115 4-6,6-4,4-5,5-4 1.79479845043599e-06
116 0-3,3-0,12-13,13-12 1.7773861340353274e-06
117 6-7,7-6,11-12,12-11 1.7575036673448377e-06
118 6-15,15-6,5-14,14-5 1.740604979719484e-06
119 2-3,3-2,1-16,16-1 1.7275195074282625e-06
120 4-5,5-4,13-14,14-13 1.5317101163938063e-06
121 8-11,11-8,14-15,15-14 1.486603075311648e-06
122 9-16,16-9,6-15,15-6 1.4256263839058556e-06
123 2-4,4-2,4-5,5-4 1.4232317655176427e-06
124 5-14,14-5,11-12,12-11 1.4069135446902012e-06
125 4-5,5-4,10-11,11-10 1.3349202362575084e-06
126 6-7,7-6,4-8,8-4 1.3299115465695578e-06
127 0-7,7-0,4-5,5-4 1.3063470225331293e-06
128 6-7,7-6,13-14,14-13 1.299493942069736e-06
129 12-13,13-12,13-16,16-13 1.2890550317672415e-06
130 5-14,14-5,4-6,6-4 1.2189461927690915e-06
131 2-4,4-2,6-7,7-6 1.2074615409642476e-06
132 2-9,9-2,1-16,16-1 1.194983682616649e-06
133 11-12,12-11,10-16,16-10 1.177214821213939e-06
134 6-7,7-6,10-11,11-10 1.132538553866241e-06
135 8-11,11-8,1-16,16-1 1.1294662624207615e-06
136 5-14,14-5,13-14,14-13 1.0402684570797268e-06
137 4-6,6-4,10-16,16-10 1.0199358232108373e-06
138 1-5,5-1,6-15,15-6 1.0142489142685964e-06
