s t demand
hl_6 hl_12 5
hl_6 hl_13 12
hl_6 hl_14 16
hl_6 hl_15 0
hl_6 hl_16 0
hl_7 hl_0 19
hl_7 hl_1 14
hl_7 hl_2 84
hl_7 hl_3 141
hl_7 hl_4 115
hl_7 hl_5 3
hl_7 hl_6 47
hl_7 hl_8 14
hl_7 hl_9 64
hl_7 hl_10 85
hl_7 hl_11 57
hl_7 hl_12 153
hl_7 hl_13 87
hl_7 hl_14 14
hl_7 hl_15 3
hl_7 hl_16 52
hl_8 hl_0 26
hl_8 hl_1 12
hl_8 hl_2 97
hl_8 hl_3 221
hl_8 hl_4 156
hl_8 hl_5 47
hl_8 hl_6 12
hl_8 hl_7 152
hl_8 hl_9 39
hl_8 hl_10 81
hl_8 hl_11 35
hl_8 hl_12 135
hl_8 hl_13 145
hl_8 hl_14 178
hl_8 hl_15 3
hl_8 hl_16 13
hl_9 hl_0 90
hl_9 hl_1 133
hl_9 hl_2 218
hl_9 hl_3 211
hl_9 hl_4 301
hl_9 hl_5 126
hl_9 hl_6 33
hl_9 hl_7 20
hl_9 hl_8 30
hl_9 hl_10 97
hl_9 hl_11 85
hl_9 hl_12 298
hl_9 hl_13 137
hl_9 hl_14 128
hl_9 hl_15 0
hl_9 hl_16 78
hl_10 hl_0 7
hl_10 hl_1 119
hl_10 hl_2 61
hl_10 hl_3 173
hl_10 hl_4 5
hl_10 hl_5 153
hl_10 hl_6 42
hl_10 hl_7 178
hl_10 hl_8 13
hl_10 hl_9 175
hl_10 hl_11 28
hl_10 hl_12 271
hl_10 hl_13 110
hl_10 hl_14 183
hl_10 hl_15 8
hl_10 hl_16 54
hl_11 hl_0 10
hl_11 hl_1 4
hl_11 hl_2 7
hl_11 hl_3 6
hl_11 hl_4 38
hl_11 hl_5 3
hl_11 hl_6 9
hl_11 hl_7 57
hl_11 hl_8 0
hl_11 hl_9 18
hl_11 hl_10 5
hl_11 hl_12 0
hl_11 hl_13 1
hl_11 hl_14 67
hl_11 hl_15 0
hl_11 hl_16 13
hl_12 hl_0 159
hl_12 hl_1 114
hl_12 hl_2 60
hl_12 hl_3 335
hl_12 hl_4 452
hl_12 hl_5 79
hl_12 hl_6 215
hl_12 hl_7 345
hl_12 hl_8 77
hl_12 hl_9 230
hl_12 hl_10 326
hl_12 hl_11 316
hl_12 hl_13 208
hl_12 hl_14 399
hl_12 hl_15 10
hl_12 hl_16 222
hl_13 hl_0 86
hl_13 hl_1 62
hl_13 hl_2 288
hl_13 hl_3 288
hl_13 hl_4 16
hl_13 hl_5 112
hl_13 hl_6 213
hl_13 hl_7 234
hl_13 hl_8 8
hl_13 hl_9 35
hl_13 hl_10 25
hl_13 hl_11 69
hl_13 hl_12 477
hl_13 hl_14 174
hl_13 hl_15 4
hl_13 hl_16 7
hl_14 hl_0 61
hl_14 hl_1 106
hl_14 hl_2 110
hl_14 hl_3 240
hl_14 hl_4 85
hl_14 hl_5 16
hl_14 hl_6 140
hl_14 hl_7 321
hl_14 hl_8 26
hl_14 hl_9 65
hl_14 hl_10 6
hl_14 hl_11 126
hl_14 hl_12 223
hl_14 hl_13 95
hl_14 hl_15 6
hl_14 hl_16 62
hl_15 hl_0 57
hl_15 hl_1 43
hl_15 hl_2 63
hl_15 hl_3 139
hl_15 hl_4 50
hl_15 hl_5 63
hl_15 hl_6 89
hl_15 hl_7 171
hl_15 hl_8 8
hl_15 hl_9 14
hl_15 hl_10 26
hl_15 hl_11 42
hl_15 hl_12 8
hl_15 hl_13 88
hl_15 hl_14 188
hl_15 hl_16 61
hl_16 hl_0 4
hl_16 hl_1 21
hl_16 hl_2 18
hl_16 hl_3 35
hl_16 hl_4 19
hl_16 hl_5 2
hl_16 hl_6 9
hl_16 hl_7 32
hl_16 hl_8 5
hl_16 hl_9 5
hl_16 hl_10 21
hl_16 hl_11 22
hl_16 hl_12 1
hl_16 hl_13 44
hl_16 hl_14 46
hl_16 hl_15 0
hh_0 hh_1 349
hh_0 hh_2 320
hh_0 hh_3 276
hh_0 hh_4 232
hh_0 hh_5 206
hh_0 hh_6 113
hh_0 hh_7 263
hh_0 hh_8 34
hh_0 hh_9 597
hh_0 hh_10 335
hh_0 hh_11 6
hh_0 hh_12 615
hh_0 hh_13 411
hh_0 hh_14 1086
hh_0 hh_15 2
hh_0 hh_16 193
hh_1 hh_0 9
hh_1 hh_2 45
hh_1 hh_3 47
hh_1 hh_4 53
hh_1 hh_5 4
hh_1 hh_6 35
hh_1 hh_7 56
hh_1 hh_8 9
hh_1 hh_9 33
hh_1 hh_10 1
hh_1 hh_11 18
hh_1 hh_12 0
hh_1 hh_13 2
hh_1 hh_14 86
hh_1 hh_15 0
hh_1 hh_16 8
hh_2 hh_0 8
hh_2 hh_1 80
hh_2 hh_3 98
hh_2 hh_4 155
hh_2 hh_5 20
hh_2 hh_6 63
hh_2 hh_7 239
hh_2 hh_8 18
hh_2 hh_9 152
hh_2 hh_10 30
hh_2 hh_11 4
hh_2 hh_12 183
hh_2 hh_13 25
hh_2 hh_14 48
hh_2 hh_15 5
hh_2 hh_16 36
hh_3 hh_0 5
hh_3 hh_1 9
hh_3 hh_2 40
hh_3 hh_4 1
hh_3 hh_5 1
hh_3 hh_6 23
hh_3 hh_7 8
hh_3 hh_8 10
hh_3 hh_9 11
hh_3 hh_10 16
hh_3 hh_11 2
hh_3 hh_12 44
hh_3 hh_13 41
hh_3 hh_14 58
hh_3 hh_15 0
hh_3 hh_16 24
hh_4 hh_0 184
hh_4 hh_1 306
hh_4 hh_2 148
hh_4 hh_3 649
hh_4 hh_5 132
hh_4 hh_6 167
hh_4 hh_7 995
hh_4 hh_8 96
hh_4 hh_9 159
hh_4 hh_10 101
hh_4 hh_11 185
hh_4 hh_12 662
hh_4 hh_13 370
hh_4 hh_14 114
hh_4 hh_15 6
hh_4 hh_16 25
hh_5 hh_0 40
hh_5 hh_1 90
hh_5 hh_2 172
hh_5 hh_3 209
hh_5 hh_4 53
hh_5 hh_6 34
hh_5 hh_7 126
hh_5 hh_8 29
hh_5 hh_9 19
hh_5 hh_10 44
hh_5 hh_11 51
hh_5 hh_12 91
hh_5 hh_13 33
hh_5 hh_14 94
hh_5 hh_15 3
hh_5 hh_16 75
hh_6 hh_0 1
hh_6 hh_1 4
hh_6 hh_2 5
hh_6 hh_3 2
hh_6 hh_4 7
hh_6 hh_5 2
hh_6 hh_7 18
hh_6 hh_8 1
hh_6 hh_9 8
hh_6 hh_10 0
hh_6 hh_11 1
hh_6 hh_12 17
hh_6 hh_13 0
hh_6 hh_14 10
hh_6 hh_15 0
hh_6 hh_16 6
hh_7 hh_0 36
hh_7 hh_1 66
hh_7 hh_2 59
hh_7 hh_3 41
hh_7 hh_4 48
hh_7 hh_5 65
hh_7 hh_6 59
hh_7 hh_8 17
hh_7 hh_9 75
hh_7 hh_10 7
hh_7 hh_11 35
hh_7 hh_12 75
hh_7 hh_13 38
hh_7 hh_14 254
hh_7 hh_15 1
hh_7 hh_16 23
hh_8 hh_0 41
hh_8 hh_1 86
hh_8 hh_2 77
hh_8 hh_3 1
hh_8 hh_4 41
hh_8 hh_5 35
hh_8 hh_6 117
hh_8 hh_7 218
hh_8 hh_9 129
hh_8 hh_10 30
hh_8 hh_11 77
hh_8 hh_12 142
hh_8 hh_13 7
hh_8 hh_14 148
hh_8 hh_15 2
hh_8 hh_16 78
hh_9 hh_0 22
hh_9 hh_1 29
hh_9 hh_2 71
hh_9 hh_3 156
hh_9 hh_4 27
hh_9 hh_5 11
hh_9 hh_6 182
hh_9 hh_7 593
hh_9 hh_8 34
hh_9 hh_10 88
hh_9 hh_11 101
hh_9 hh_12 161
hh_9 hh_13 115
hh_9 hh_14 414
hh_9 hh_15 10
hh_9 hh_16 73
hh_10 hh_0 121
hh_10 hh_1 67
hh_10 hh_2 268
hh_10 hh_3 246
hh_10 hh_4 369
hh_10 hh_5 4
hh_10 hh_6 203
hh_10 hh_7 520
hh_10 hh_8 60
hh_10 hh_9 144
hh_10 hh_11 184
hh_10 hh_12 253
hh_10 hh_13 178
hh_10 hh_14 434
hh_10 hh_15 3
hh_10 hh_16 118
hh_11 hh_0 3
hh_11 hh_1 16
hh_11 hh_2 28
hh_11 hh_3 39
hh_11 hh_4 3
hh_11 hh_5 13
hh_11 hh_6 18
hh_11 hh_7 19
hh_11 hh_8 7
hh_11 hh_9 17
hh_11 hh_10 17
hh_11 hh_12 57
hh_11 hh_13 30
hh_11 hh_14 0
hh_11 hh_15 0
hh_11 hh_16 5
hh_12 hh_0 60
hh_12 hh_1 203
hh_12 hh_2 501
hh_12 hh_3 378
hh_12 hh_4 184
hh_12 hh_5 187
hh_12 hh_6 202
hh_12 hh_7 842
hh_12 hh_8 48
hh_12 hh_9 314
hh_12 hh_10 33
hh_12 hh_11 45
hh_12 hh_13 282
hh_12 hh_14 650
hh_12 hh_15 9
hh_12 hh_16 71
hh_13 hh_0 31
hh_13 hh_1 107
hh_13 hh_2 13
hh_13 hh_3 94
hh_13 hh_4 325
hh_13 hh_5 31
hh_13 hh_6 11
hh_13 hh_7 403
hh_13 hh_8 59
hh_13 hh_9 256
hh_13 hh_10 167
hh_13 hh_11 125
hh_13 hh_12 1
hh_13 hh_14 389
hh_13 hh_15 6
hh_13 hh_16 150
hh_14 hh_0 23
hh_14 hh_1 15
hh_14 hh_2 105
hh_14 hh_3 34
hh_14 hh_4 160
hh_14 hh_5 87
hh_14 hh_6 20
hh_14 hh_7 137
hh_14 hh_8 22
hh_14 hh_9 144
hh_14 hh_10 132
hh_14 hh_11 13
hh_14 hh_12 120
hh_14 hh_13 93
hh_14 hh_15 1
hh_14 hh_16 50
hh_15 hh_0 0
hh_15 hh_1 40
hh_15 hh_2 85
hh_15 hh_3 49
hh_15 hh_4 117
hh_15 hh_5 7
hh_15 hh_6 21
hh_15 hh_7 142
hh_15 hh_8 24
hh_15 hh_9 129
hh_15 hh_10 68
hh_15 hh_11 53
hh_15 hh_12 227
hh_15 hh_13 41
hh_15 hh_14 89
hh_15 hh_16 16
hh_16 hh_0 17
hh_16 hh_1 9
hh_16 hh_2 36
hh_16 hh_3 34
hh_16 hh_4 43
hh_16 hh_5 24
hh_16 hh_6 31
hh_16 hh_7 84
hh_16 hh_8 7
hh_16 hh_9 47
hh_16 hh_10 14
hh_16 hh_11 12
hh_16 hh_12 86
hh_16 hh_13 3
hh_16 hh_14 57
hh_16 hh_15 1
